id,encoded_trace
QTN,"[('Common', 'test'), ('Common', 'back'), ('Common', 'approve'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'loop start'), ('Common', 'transfer'), ('Common', 'loop stop'), ('Common', 'loop start'), ('Cluster', 'Common Cluster 6'), ('Common', 'transfer'), ('Common', 'transfer'), ('Common', 'transfer'), ('Common', 'loop stop'), ('Cluster', 'Common Cluster 6'), ('Common', 'transfer'), ('Common', 'loop start'), ('Common', 'transfer'), ('Unique', 'transfer'), ('Common', 'loop stop'), ('Common', 'transfer'), ('Common', 'approve'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer')]"
OneRing,"[('Common', 'test')]"
Parity,"[('Common', 'test'), ('Unique', 'init'), ('Cluster', 'Unique Cluster 9')]"
RADT,"[('Common', 'test'), ('Common', 'approve'), ('Common', 'approve'), ('Common', 'flash'), ('Common', 'flash'), ('Common', 'transfer'), ('Common', 'call'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'swap'), ('Common', 'transfer'), ('Common', 'withdraw'), ('Common', 'withdraw'), ('Common', 'loop start'), ('Unique', 'transfer'), ('Common', 'loop stop'), ('Common', 'transfer'), ('Common', 'withdraw'), ('Common', 'withdraw'), ('Common', 'loop start'), ('Unique', 'transfer'), ('Unique', 'transfer'), ('Common', 'loop stop'), ('Cluster', 'Common Cluster 1'), ('Common', 'fee'), ('Common', 'transfer'), ('Common', 'withdraw'), ('Common', 'withdraw'), ('Unique', 'transfer'), ('Unique', 'transfer'), ('Unique', 'transfer'), ('Common', 'swap'), ('Common', 'loop start'), ('Common', 'transfer'), ('Common', 'loop stop')]"
EFLeverVault,"[('Common', 'test'), ('Common', 'deposit'), ('Common', 'loop start'), ('Cluster', 'Unique Cluster 5'), ('Common', 'loop stop'), ('Unique', 'add'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Unique', 'token'), ('Cluster', 'Common Cluster 6'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Unique', 'add'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Common', 'flash'), ('Common', 'transfer'), ('Common', 'flash'), ('Common', 'withdraw'), ('Common', 'back'), ('Common', 'exchange'), ('Common', 'transfer'), ('Common', 'get'), ('Common', 'get'), ('Common', 'transfer'), ('Common', 'approve'), ('Common', 'get'), ('Common', 'get'), ('Common', 'approve'), ('Common', 'deposit'), ('Common', 'deposit'), ('Cluster', 'Non-Meaningful'), ('Common', 'transfer'), ('Common', 'get'), ('Common', 'get'), ('Common', 'transfer'), ('Common', 'mint'), ('Common', 'mint'), ('Unique', 'add'), ('Common', 'borrow'), ('Common', 'borrow'), ('Cluster', 'Non-Meaningful'), ('Common', 'mint'), ('Common', 'mint'), ('Common', 'hand'), ('Common', 'hand'), ('Common', 'mint'), ('Common', 'mint'), ('Common', 'hand'), ('Common', 'hand'), ('Common', 'transfer'), ('Common', 'transfer'), ('Common', 'loop start'), ('Common', 'transfer'), ('Common', 'loop stop'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Unique', 'token'), ('Cluster', 'Common Cluster 6'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Common', 'flash'), ('Common', 'transfer'), ('Common', 'flash'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Common', 'approve'), ('Common', 'repay'), ('Common', 'repay'), ('Cluster', 'Non-Meaningful'), ('Common', 'burn'), ('Common', 'burn'), ('Common', 'hand'), ('Common', 'hand'), ('Common', 'transfer'), ('Common', 'withdraw'), ('Common', 'withdraw'), ('Cluster', 'Non-Meaningful'), ('Cluster', 'Non-Meaningful'), ('Common', 'burn'), ('Common', 'burn'), ('Common', 'transfer'), ('Common', 'get'), ('Common', 'get'), ('Common', 'transfer'), ('Common', 'approve'), ('Common', 'get'), ('Common', 'get'), ('Common', 'approve'), ('Common', 'exchange'), ('Common', 'transfer'), ('Common', 'get'), ('Common', 'get'), ('Common', 'transfer'), ('Cluster', 'Common Cluster 8'), ('Common', 'back'), ('Unique', 'add'), ('Common', 'back'), ('Unique', 'add'), ('Common', 'transfer'), ('Common', 'withdraw'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Unique', 'add'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Unique', 'token'), ('Cluster', 'Common Cluster 6'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Common', 'flash'), ('Common', 'transfer'), ('Common', 'flash'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Common', 'approve'), ('Common', 'repay'), ('Common', 'repay'), ('Cluster', 'Non-Meaningful'), ('Common', 'burn'), ('Common', 'burn'), ('Common', 'hand'), ('Common', 'hand'), ('Common', 'transfer'), ('Common', 'withdraw'), ('Common', 'withdraw'), ('Cluster', 'Non-Meaningful'), ('Cluster', 'Non-Meaningful'), ('Common', 'burn'), ('Common', 'burn'), ('Common', 'transfer'), ('Common', 'get'), ('Common', 'get'), ('Common', 'transfer'), ('Common', 'approve'), ('Common', 'get'), ('Common', 'get'), ('Common', 'approve'), ('Common', 'exchange'), ('Common', 'transfer'), ('Common', 'get'), ('Common', 'get'), ('Common', 'transfer'), ('Cluster', 'Common Cluster 8'), ('Common', 'back'), ('Unique', 'add'), ('Common', 'back'), ('Unique', 'add'), ('Common', 'transfer'), ('Common', 'receive'), ('Unique', 'token'), ('Cluster', 'Common Cluster 6'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Cluster', 'Unique Cluster 5'), ('Common', 'deposit')]"
